###CONSUMER DISCRETIONARY,
NASDAQ:AMZN,	NASDAQ:AMZN/(SP:SPX/5500),
NYSE:BABA,	NYSE:BABA/(SP:SPX/9900),
NYSE:HD,	NYSE:HD/(SP:SPX/5500),
NYSE:LOW,	NYSE:LOW/(SP:SPX/5500),
NYSE:TJX,	NYSE:TJX/(SP:SPX/5500),
NASDAQ:ORLY,	NASDAQ:ORLY/(SP:SPX/5500),
NYSE:AZO,	NYSE:AZO/(SP:SPX/5500),
NYSE:CMG,	NYSE:CMG/(SP:SPX/5500),
NASDAQ:BKNG,	NASDAQ:BKNG/(SP:SPX/5500),
NASDAQ:TCOM,	NASDAQ:TCOM/(SP:SPX/9900),
NYSE:RCL,	NYSE:RCL/(SP:SPX/5500),
NYSE:HLT,	NYSE:HLT/(SP:SPX/5500),
NYSE:LVS,	NYSE:LVS/(SP:SPX/5500),
NYSE:GM,	NYSE:GM/(SP:SPX/5500),
NYSE:RACE,	NYSE:RACE/(SP:SPX/9900),
NYSE:NVR,	NYSE:NVR/(SP:SPX/5500),
NYSE:LEN,	NYSE:LEN/(SP:SPX/5500),
NASDAQ:DASH,	NASDAQ:DASH/(SP:SPX/3300),
NYSE:GRMN,	NYSE:GRMN/(SP:SPX/5500),
NYSE:ADT,	NYSE:ADT/(SP:SPX/3300),
NYSE:DECK,	NYSE:DECK/(SP:SPX/5500),
AMEX:XLY,AMEX:XLY/(AMEX:SPY/100),AMEX:VCR,AMEX:VCR/(AMEX:SPY/100),	
###CONSUMER STAPLES,
NYSE:WMT,	NYSE:WMT/(SP:SPX/5500),
NASDAQ:COST,	NASDAQ:COST/(SP:SPX/5500),
NYSE:KR,	NYSE:KR/(SP:SPX/5500),
NYSE:PG,	NYSE:PG/(SP:SPX/5500),
NYSE:CL,	NYSE:CL/(SP:SPX/5500),
NYSE:K,	NYSE:K/(SP:SPX/5500),
NYSE:PM,	NYSE:PM/(SP:SPX/5500),
NYSE:MO,	NYSE:MO/(SP:SPX/5500),
NYSE:KO,	NYSE:KO/(SP:SPX/5500),
NASDAQ:PPC,	NASDAQ:PPC/(SP:SPX/3300),
AMEX:XLP,AMEX:XLP/(AMEX:SPY/100),AMEX:VDC,AMEX:VDC/(AMEX:SPY/100)
