###REAL STATE,	
NYSE:WELL,	NYSE:WELL/(SP:SPX/5500),
NYSE:IRM,	NYSE:IRM/(SP:SPX/5500),
NYSE:DLR,	NYSE:DLR/(SP:SPX/5500),
NASDAQ:EQIX,	NASDAQ:EQIX/(SP:SPX/5500),
NYSE:SPG,	NYSE:SPG/(SP:SPX/5500),
NYSE:VTR,	NYSE:VTR/(SP:SPX/5500),
NYSE:CBRE,	NYSE:CBRE/(SP:SPX/5500),
NYSE:EXR,	NYSE:EXR/(SP:SPX/5500),
AMEX:XLRE,AMEX:XLRE/(AMEX:SPY/100),AMEX:VNQ,AMEX:VNQ/(AMEX:SPY/100),	
###FINANCIALS,
NYSE:JPM,	NYSE:JPM/(SP:SPX/5500),
NYSE:BAC,	NYSE:BAC/(SP:SPX/5500),
NYSE:WFC,	NYSE:WFC/(SP:SPX/5500),
NYSE:SMFG,	NYSE:SMFG/(SP:SPX/9900),
NYSE:BRK.B,	NYSE:BRK.B/(SP:SPX/5500),
NYSE:TRV,	NYSE:TRV/(SP:SPX/5500),
NYSE:CB,	NYSE:CB/(SP:SPX/5500),
NYSE:KKR,	NYSE:KKR/(SP:SPX/5500),
NYSE:APO,	NYSE:APO/(SP:SPX/3300),
NYSE:OWL,	NYSE:OWL/(SP:SPX/3300),
NYSE:GS,	NYSE:GS/(SP:SPX/5500),
NYSE:BK,	NYSE:BK/(SP:SPX/5500),
NYSE:AMP,	NYSE:AMP/(SP:SPX/5500),
NASDAQ:HOOD,	NASDAQ:HOOD/(SP:SPX/3300),
NYSE:PGR,	NYSE:PGR/(SP:SPX/5500),
NYSE:AFL,	NYSE:AFL/(SP:SPX/5500),
NYSE:MFC,	NYSE:MFC/(SP:SPX/9900),
NASDAQ:ACGL,	NASDAQ:ACGL/(SP:SPX/5500),
NYSE:FI,	NYSE:FI/(SP:SPX/5500),
NYSE:MTB,	NYSE:MTB/(SP:SPX/5500),
NASDAQ:FCNCA,	NASDAQ:FCNCA/(SP:SPX/3300),
NYSE:CM,	NYSE:CM/(SP:SPX/9900),
NYSE:AJG,	NYSE:AJG/(SP:SPX/5500),
NYSE:BRO,	NYSE:BRO/(SP:SPX/5500),
NYSE:AON,	NYSE:AON/(SP:SPX/5500),
NYSE:AXP,	NYSE:AXP/(SP:SPX/5500),
NYSE:DFS,	NYSE:DFS/(SP:SPX/5500),
NYSE:SYF,	NYSE:SYF/(SP:SPX/5500),
NYSE:PRU,	NYSE:PRU/(SP:SPX/5500),
NYSE:MA,	NYSE:MA/(SP:SPX/5500),
NASDAQ:PYPL,	NASDAQ:PYPL/(SP:SPX/5500),
NYSE:MCO,	NYSE:MCO/(SP:SPX/5500),
NYSE:NU,	NYSE:NU/(SP:SPX/9900),
NYSE:FIS,	NYSE:FIS/(SP:SPX/5500),
NYSE:TOST,	NYSE:TOST/(SP:SPX/3300),
AMEX:XLF,AMEX:XLF/(AMEX:SPY/100),AMEX:VFH,AMEX:VFH/(AMEX:SPY/100)
