NYSE:LLY,	NYSE:LLY/(SP:SPX/5500),
NYSE:ABBV,	NYSE:ABBV/(SP:SPX/5500),
NASDAQ:VRTX,	NASDAQ:VRTX/(SP:SPX/5500),
NASDAQ:ALNY,	NASDAQ:ALNY/(SP:SPX/3300),
NASDAQ:ISRG,	NASDAQ:ISRG/(SP:SPX/5500),
NYSE:BSX,	NYSE:BSX/(SP:SPX/5500),
NYSE:SYK,	NYSE:SYK/(SP:SPX/5500),
NYSE:RMD,	NYSE:RMD/(SP:SPX/5500),
NASDAQ:GEHC,	NASDAQ:GEHC/(SP:SPX/5500),
NASDAQ:AMGN,	NASDAQ:AMGN/(SP:SPX/5500),
NASDAQ:GILD,	NASDAQ:GILD/(SP:SPX/5500),
NASDAQ:PCVX,	NASDAQ:PCVX/(SP:SPX/3300),
NYSE:TEVA,	NYSE:TEVA/(SP:SPX/9900),
NYSE:UNH,	NYSE:UNH/(SP:SPX/5500),
NYSE:CI,	NYSE:CI/(SP:SPX/5500),
NYSE:HCA,	NYSE:HCA/(SP:SPX/5500),
NYSE:THC,	NYSE:THC/(SP:SPX/3300),
NYSE:EHC,	NYSE:EHC/(SP:SPX/3300),
NYSE:MCK,	NYSE:MCK/(SP:SPX/5500),
NYSE:COR,	NYSE:COR/(SP:SPX/5500),
AMEX:XLV,AMEX:XLV/(AMEX:SPY/100),AMEX:VHT,AMEX:VHT/(AMEX:SPY/100)
