###INDUSTRIALS,
NYSE:GE,	NYSE:GE/(SP:SPX/5500),
NYSE:CARR,	NYSE:CARR/(SP:SPX/5500),
NYSE:TT,	NYSE:TT/(SP:SPX/5500),
NYSE:JCI,	NYSE:JCI/(SP:SPX/5500),
NYSE:CAT,	NYSE:CAT/(SP:SPX/5500),
NYSE:WAB,	NYSE:WAB/(SP:SPX/5500),
NYSE:GEV,	NYSE:GEV/(SP:SPX/5500),
NYSE:ETN,	NYSE:ETN/(SP:SPX/5500),
NYSE:CMI,	NYSE:CMI/(SP:SPX/5500),
NYSE:OTIS,	NYSE:OTIS/(SP:SPX/5500),
NYSE:MMM,	NYSE:MMM/(SP:SPX/5500),
NYSE:RTX,	NYSE:RTX/(SP:SPX/5500),
NYSE:HWM,	NYSE:HWM/(SP:SPX/5500),
NASDAQ:AXON,	NASDAQ:AXON/(SP:SPX/5500),
NYSE:LDOS,	NYSE:LDOS/(SP:SPX/5500),
NYSE:PH,	NYSE:PH/(SP:SPX/5500),
NYSE:EMR,	NYSE:EMR/(SP:SPX/5500),
NYSE:VRT,	NYSE:VRT/(SP:SPX/3300),
NYSE:WM,	NYSE:WM/(SP:SPX/5500),
NYSE:RSG,	NYSE:RSG/(SP:SPX/5500),
NYSE:PWR,	NYSE:PWR/(SP:SPX/5500),
NYSE:EME,	NYSE:EME/(SP:SPX/3300),
NYSE:FIX,	NYSE:FIX/(SP:SPX/3300),
NASDAQ:ADP,	NASDAQ:ADP/(SP:SPX/5500),
NASDAQ:PAYX,	NASDAQ:PAYX/(SP:SPX/5500),
NASDAQ:VRSK,	NASDAQ:VRSK/(SP:SPX/5500),
NYSE:CACI,	NYSE:CACI/(SP:SPX/3300),
NYSE:NSC,	NYSE:NSC/(SP:SPX/5500),
NYSE:FDX,	NYSE:FDX/(SP:SPX/5500),
NYSE:UBER,	NYSE:UBER/(SP:SPX/5500),
NASDAQ:UAL,	NASDAQ:UAL/(SP:SPX/5500),
NYSE:DAL,	NYSE:DAL/(SP:SPX/5500),
NYSE:BAH,	NYSE:BAH/(SP:SPX/3300),
NYSE:EFX,	NYSE:EFX/(SP:SPX/5500),
NYSE:GWW,	NYSE:GWW/(SP:SPX/5500),
NASDAQ:FAST,	NASDAQ:FAST/(SP:SPX/5500),
NASDAQ:CTAS,	NASDAQ:CTAS/(SP:SPX/5500),
NYSE:URI,	NYSE:URI/(SP:SPX/5500),
NASDAQ:CPRT,	NASDAQ:CPRT/(SP:SPX/5500),
AMEX:XLI,AMEX:XLI/(AMEX:SPY/100),AMEX:VIS,AMEX:VIS/(AMEX:SPY/100),
###MATERIALS,
NYSE:ECL,	NYSE:ECL/(SP:SPX/5500),
NYSE:PKG,	NYSE:PKG/(SP:SPX/5500),
NYSE:AMCR,	NYSE:AMCR/(SP:SPX/5500),
NYSE:SHW,	NYSE:SHW/(SP:SPX/5500),
NYSE:CTVA,	NYSE:CTVA/(SP:SPX/5500),
NYSE:DD,	NYSE:DD/(SP:SPX/5500),
NYSE:IP,	NYSE:IP/(SP:SPX/5500),
NYSE:SCCO,	NYSE:SCCO/(SP:SPX/9900),
NYSE:VMC,	NYSE:VMC/(SP:SPX/5500),
NYSE:MLM,	NYSE:MLM/(SP:SPX/5500),
NYSE:CRH,	NYSE:CRH/(SP:SPX/3300),
NYSE:NEM,	NYSE:NEM/(SP:SPX/5500),
NYSE:AA,	NYSE:AA/(SP:SPX/3300),
AMEX:XLB,AMEX:XLB/(AMEX:SPY/100),AMEX:VAW,AMEX:VAW/(AMEX:SPY/100)
