NASDAQ:NVDA,	NASDAQ:NVDA/(SP:SPX/5500),
NASDAQ:AVGO,	NASDAQ:AVGO/(SP:SPX/5500),
NYSE:TSM,	NYSE:TSM/(SP:SPX/9900),
NASDAQ:AAPL,	NASDAQ:AAPL/(SP:SPX/5500),
NYSE:ANET,	NYSE:ANET/(SP:SPX/5500),
NYSE:DELL,	NYSE:DELL/(SP:SPX/5500),
NYSE:HPE,	NYSE:HPE/(SP:SPX/5500),
NYSE:APH,	NYSE:APH/(SP:SPX/5500),
NYSE:GLW,	NYSE:GLW/(SP:SPX/5500),
NASDAQ:KLAC,	NASDAQ:KLAC/(SP:SPX/5500),
NASDAQ:FLEX,	NASDAQ:FLEX/(SP:SPX/3300),
NYSE:ORCL,	NYSE:ORCL/(SP:SPX/5500),
NYSE:NOW,	NYSE:NOW/(SP:SPX/5500),
NYSE:IBM,	NYSE:IBM/(SP:SPX/5500),
NYSE:SAP,	NYSE:SAP/(SP:SPX/9900),
NASDAQ:FTNT,	NASDAQ:FTNT/(SP:SPX/5500),
NYSE:IT,	NYSE:IT/(SP:SPX/5500),
NYSE:GDDY,	NYSE:GDDY/(SP:SPX/5500),
NYSE:TYL,	NYSE:TYL/(SP:SPX/5500),
NASDAQ:AMAT,	NASDAQ:AMAT/(SP:SPX/5500),
NASDAQ:GRAB,	NASDAQ:GRAB/(SP:SPX/9900),
AMEX:XLK,AMEX:XLK/(AMEX:SPY/100),AMEX:VGT,AMEX:VGT/(AMEX:SPY/100)
