###COMMUNICATIONS,	
NASDAQ:MTCH,	NASDAQ:MTCH/(SP:SPX/5500),
NYSE:SPOT,	NYSE:SPOT/(SP:SPX/9900),
NYSE:TME,	NYSE:TME/(SP:SPX/9900),
NASDAQ:EA,	NASDAQ:EA/(SP:SPX/5500),
NASDAQ:TTWO,	NASDAQ:TTWO/(SP:SPX/5500),
NYSE:RBLX,	NYSE:RBLX/(SP:SPX/3300),
NASDAQ:FYBR,	NASDAQ:FYBR/(SP:SPX/3300),
NASDAQ:SATS,	NASDAQ:SATS/(SP:SPX/3300),
NASDAQ:CMCSA,	NASDAQ:CMCSA/(SP:SPX/5500),
NASDAQ:FOXA,	NASDAQ:FOXA/(SP:SPX/5500),
NASDAQ:NWS,	NASDAQ:NWS/(SP:SPX/5500),
NYSE:NYT,	NYSE:NYT/(SP:SPX/3300),
NYSE:EDR,	NYSE:EDR/(SP:SPX/3300),
NASDAQ:LLYVA,	NASDAQ:LLYVA/(SP:SPX/3300),
NYSE:OMC,	NYSE:OMC/(SP:SPX/5500),
NASDAQ:DJT,	NASDAQ:DJT/(SP:SPX/9900),
NASDAQ:WMG,	NASDAQ:WMG/(SP:SPX/3300),
###CONSUMER DISCRETIONARY,	
NASDAQ:ETSY,	NASDAQ:ETSY/(SP:SPX/3300),
NYSE:CPNG,	NYSE:CPNG/(SP:SPX/9900),
NASDAQ:JD,	NASDAQ:JD/(SP:SPX/9900),
NYSE:SE,	NYSE:SE/(SP:SPX/9900),
NASDAQ:LULU,	NASDAQ:LULU/(SP:SPX/5500),
NASDAQ:PDD,	NASDAQ:PDD/(SP:SPX/9900),
NYSE:BBY,	NYSE:BBY/(SP:SPX/5500),
NASDAQ:SBUX,	NASDAQ:SBUX/(SP:SPX/5500),
NYSE:MCD,	NYSE:MCD/(SP:SPX/5500),
NASDAQ:PZZA,	NASDAQ:PZZA/(SP:SPX/3300),
NASDAQ:ABNB,	NASDAQ:ABNB/(SP:SPX/5500),
NASDAQ:MAR,	NASDAQ:MAR/(SP:SPX/5500),
NASDAQ:WYNN,	NASDAQ:WYNN/(SP:SPX/5500),
NASDAQ:DKNG,	NASDAQ:DKNG/(SP:SPX/3300),
NASDAQ:TSLA,	NASDAQ:TSLA/(SP:SPX/5500),
NYSE:TM,	NYSE:TM/(SP:SPX/9900),
NYSE:PHM,	NYSE:PHM/(SP:SPX/5500),
NYSE:TOL,	NYSE:TOL/(SP:SPX/3300),
NASDAQ:HAS,	NASDAQ:HAS/(SP:SPX/5500),
NYSE:SONY,	NYSE:SONY/(SP:SPX/9900),
NYSE:BLD,	NYSE:BLD/(SP:SPX/3300),
NASDAQ:POOL,	NASDAQ:POOL/(SP:SPX/5500),
NYSE:NKE,	NYSE:NKE/(SP:SPX/5500),
NYSE:VFC,	NYSE:VFC/(SP:SPX/3300),
###CONSUMER STAPLES,	
NYSE:DG,	NYSE:DG/(SP:SPX/5500),
NYSE:UL,	NYSE:UL/(SP:SPX/9900),
NASDAQ:KDP,	NASDAQ:KDP/(SP:SPX/5500),
NASDAQ:PEP,	NASDAQ:PEP/(SP:SPX/5500),
NASDAQ:MNST,	NASDAQ:MNST/(SP:SPX/5500),
NYSE:BUD,	NYSE:BUD/(SP:SPX/9900),
NYSE:DEO,	NYSE:DEO/(SP:SPX/9900),
NYSE:GIS,	NYSE:GIS/(SP:SPX/5500),
NYSE:CAG,	NYSE:CAG/(SP:SPX/5500),
NYSE:TSN,	NYSE:TSN/(SP:SPX/5500),
NYSE:BRFS,	NYSE:BRFS/(SP:SPX/9900),
NYSE:SYY,	NYSE:SYY/(SP:SPX/5500),
NYSE:ADM,	NYSE:ADM/(SP:SPX/5500),
###ENERGY,	
NYSE:ENB,	NYSE:ENB/(SP:SPX/9900),
NYSE:SLB,	NYSE:SLB/(SP:SPX/5500),
NYSE:HAL,	NYSE:HAL/(SP:SPX/5500),
NYSE:FTI,	NYSE:FTI/(SP:SPX/3300),
TSX:CCO,	TSX:CCO/(SP:SPX/9900),
NYSE:CCJ,	NYSE:CCJ/(SP:SPX/9900),
NYSE:MRO,	NYSE:MRO/(SP:SPX/5500),
NYSE:SHEL,	NYSE:SHEL/(SP:SPX/9900),
NYSE:TTE,	NYSE:TTE/(SP:SPX/9900),
NYSE:EOG,	NYSE:EOG/(SP:SPX/5500),
NYSE:COP,	NYSE:COP/(SP:SPX/5500),
NYSE:CNQ,	NYSE:CNQ/(SP:SPX/9900),
NYSE:VLO,	NYSE:VLO/(SP:SPX/5500),
NYSE:MPC,	NYSE:MPC/(SP:SPX/5500),
###FINANCIALS - REAL ESTATE,	
NYSE:AVB,	NYSE:AVB/(SP:SPX/5500),
NYSE:PSA,	NYSE:PSA/(SP:SPX/5500),
NYSE:EQR,	NYSE:EQR/(SP:SPX/5500),
NYSE:ESS,	NYSE:ESS/(SP:SPX/5500),
NYSE:MAA,	NYSE:MAA/(SP:SPX/5500),
NYSE:O,	NYSE:O/(SP:SPX/5500),
NYSE:DOC,	NYSE:DOC/(SP:SPX/5500),
NYSE:AMT,	NYSE:AMT/(SP:SPX/5500),
NYSE:PLD,	NYSE:PLD/(SP:SPX/5500),
NYSE:OHI,	NYSE:OHI/(SP:SPX/3300),
NASDAQ:LAMR,	NASDAQ:LAMR/(SP:SPX/3300),
NYSE:HHH,	NYSE:HHH/(SP:SPX/3300),
###FINANCIALS,	
NYSE:PNC,	NYSE:PNC/(SP:SPX/5500),
NYSE:COF,	NYSE:COF/(SP:SPX/5500),
NYSE:USB,	NYSE:USB/(SP:SPX/5500),
NYSE:RY,	NYSE:RY/(SP:SPX/9900),
NYSE:MUFG,	NYSE:MUFG/(SP:SPX/9900),
NYSE:SAN,	NYSE:SAN/(SP:SPX/9900),
NYSE:HSBC,	NYSE:HSBC/(SP:SPX/9900),
NYSE:ITUB,	NYSE:ITUB/(SP:SPX/9900),
NYSE:ALL,	NYSE:ALL/(SP:SPX/5500),
NYSE:BX,	NYSE:BX/(SP:SPX/5500),
NYSE:MS,	NYSE:MS/(SP:SPX/5500),
NYSE:BLK,	NYSE:BLK/(SP:SPX/5500),
NYSE:RJF,	NYSE:RJF/(SP:SPX/5500),
NYSE:ICE,	NYSE:ICE/(SP:SPX/5500),
NASDAQ:NDAQ,	NASDAQ:NDAQ/(SP:SPX/5500),
NYSE:SCHW,	NYSE:SCHW/(SP:SPX/5500),
NASDAQ:CME,	NASDAQ:CME/(SP:SPX/5500),
NASDAQ:COIN,	NASDAQ:COIN/(SP:SPX/3300),
NYSE:MET,	NYSE:MET/(SP:SPX/5500),
NYSE:TFC,	NYSE:TFC/(SP:SPX/5500),
NASDAQ:FITB,	NASDAQ:FITB/(SP:SPX/5500),
NASDAQ:EWBC,	NASDAQ:EWBC/(SP:SPX/3300),
NYSE:FHN,	NYSE:FHN/(SP:SPX/3300),
NYSE:IBN,	NYSE:IBN/(SP:SPX/9900),
NYSE:MMC,	NYSE:MMC/(SP:SPX/5500),
NYSE:EQH,	NYSE:EQH/(SP:SPX/3300),
NYSE:FNF,	NYSE:FNF/(SP:SPX/3300),
NYSE:ORI,	NYSE:ORI/(SP:SPX/3300),
NYSE:ESNT,	NYSE:ESNT/(SP:SPX/3300),
NYSE:WBS,	NYSE:WBS/(SP:SPX/3300),
NYSE:V,	NYSE:V/(SP:SPX/5500),
NYSE:SPGI,	NYSE:SPGI/(SP:SPX/5500),
NYSE:SQ,	NYSE:SQ/(SP:SPX/3300),
NYSE:MSCI,	NYSE:MSCI/(SP:SPX/5500),
###HEALTH,	
NYSE:BMY,	NYSE:BMY/(SP:SPX/5500),
NYSE:JNJ,	NYSE:JNJ/(SP:SPX/5500),
NYSE:PFE,	NYSE:PFE/(SP:SPX/5500),
NASDAQ:REGN,	NASDAQ:REGN/(SP:SPX/5500),
NYSE:ZTS,	NYSE:ZTS/(SP:SPX/5500),
NYSE:MRK,	NYSE:MRK/(SP:SPX/5500),
NYSE:NVO,	NYSE:NVO/(SP:SPX/9900),
NYSE:NVS,	NYSE:NVS/(SP:SPX/9900),
NYSE:DHR,	NYSE:DHR/(SP:SPX/5500),
NYSE:ABT,	NYSE:ABT/(SP:SPX/5500),
NYSE:TMO,	NYSE:TMO/(SP:SPX/5500),
